bank account or service,2012,12212,2271,19
bank account or service,2013,13388,2392,18
bank account or service,2014,14662,2427,17
bank account or service,2015,17140,2925,17
bank account or service,2016,21848,3244,15
bank account or service,2017,6956,1089,16
checking or savings account,2017,12763,2192,17
checking or savings account,2018,21211,3423,16
checking or savings account,2019,21740,3320,15
checking or savings account,2020,5834,922,16
consumer loan,2012,1986,376,19
consumer loan,2013,3117,366,12
consumer loan,2014,5457,452,8
consumer loan,2015,7886,671,9
consumer loan,2016,9601,712,7
consumer loan,2017,3557,293,8
credit card,2011,1260,237,19
credit card,2012,15353,3063,20
credit card,2013,13105,2527,19
credit card,2014,13974,2393,17
credit card,2015,17300,2986,17
credit card,2016,21065,4420,21
credit card,2017,7133,1272,18
credit card or prepaid card,2017,15404,2374,15
credit card or prepaid card,2018,24249,3636,15
credit card or prepaid card,2019,25835,3783,15
credit card or prepaid card,2020,8097,1318,16
credit reporting,2012,1873,716,38
credit reporting,2013,14380,5238,36
credit reporting,2014,29239,10200,35
credit reporting,2015,34272,11962,35
credit reporting,2016,44081,15850,36
credit reporting,2017,16587,5018,30
"credit reporting, credit repair services, or other personal consumer reports",2017,73394,25344,35
"credit reporting, credit repair services, or other personal consumer reports",2018,111627,29048,26
"credit reporting, credit repair services, or other personal consumer reports",2019,138595,39707,29
"credit reporting, credit repair services, or other personal consumer reports",2020,53803,16992,32
debt collection,2013,11069,950,9
debt collection,2014,39139,2497,6
debt collection,2015,39724,2047,5
debt collection,2016,40466,1471,4
debt collection,2017,47954,1959,4
debt collection,2018,51185,2428,5
debt collection,2019,46404,1935,4
debt collection,2020,13601,590,4
"money transfer, virtual currency, or money service",2017,3266,1061,32
"money transfer, virtual currency, or money service",2018,5433,1647,30
"money transfer, virtual currency, or money service",2019,5087,1333,26
"money transfer, virtual currency, or money service",2020,1394,294,21
money transfers,2013,559,165,30
money transfers,2014,1169,378,32
money transfers,2015,1619,515,32
money transfers,2016,1567,397,25
money transfers,2017,440,118,27
mortgage,2011,1276,419,33
mortgage,2012,38109,11762,31
mortgage,2013,49400,12408,25
mortgage,2014,42961,6017,14
mortgage,2015,42345,5101,12
mortgage,2016,41466,5651,14
mortgage,2017,30577,3633,12
mortgage,2018,24576,3040,12
mortgage,2019,22708,2065,9
mortgage,2020,6498,483,7
other financial service,2014,116,14,12
other financial service,2015,312,32,10
other financial service,2016,465,25,5
other financial service,2017,166,11,7
payday loan,2013,194,26,13
payday loan,2014,1706,291,17
payday loan,2015,1585,132,8
payday loan,2016,1565,261,17
payday loan,2017,493,58,12
"payday loan, title loan, or personal loan",2017,2958,190,6
"payday loan, title loan, or personal loan",2018,4368,205,5
"payday loan, title loan, or personal loan",2019,4323,177,4
"payday loan, title loan, or personal loan",2020,1169,64,5
prepaid card,2014,336,74,22
prepaid card,2015,1784,741,42
prepaid card,2016,1250,261,21
prepaid card,2017,449,87,19
student loan,2012,2840,1204,42
student loan,2013,3005,1370,46
student loan,2014,4283,1892,44
student loan,2015,4501,1664,37
student loan,2016,8087,2782,34
student loan,2017,17173,10895,63
student loan,2018,8776,4036,46
student loan,2019,7212,2936,41
student loan,2020,1657,529,32
vehicle loan or lease,2017,3694,490,13
vehicle loan or lease,2018,5892,723,12
vehicle loan or lease,2019,5489,685,12
vehicle loan or lease,2020,1586,161,10
virtual currency,2014,1,1,100
virtual currency,2015,7,7,100
virtual currency,2016,7,4,57
virtual currency,2017,3,3,100
